ID	Carat Weight	Cut	Color	Clarity	Polish	Symmetry	Report	Price
45	 0.90 	Ideal	E	SI1	VG	VG	GIA	4921.00
46	 1.44 	Ideal	D	SI1	G	G	GIA	10768.00
47	 2.28 	Ideal	D	IF	VG	EX	GIA	73209.00
48	 1.01 	Signature-Ideal	D	VVS2	ID	ID	AGSL	12996.00
49	 2.29 	Ideal	G	VS2	VG	VG	GIA	27097.00
50	 0.80 	Ideal	D	VS2	VG	EX	GIA	3817.00
51	 1.06 	Signature-Ideal	G	VVS2	ID	ID	AGSL	9645.00
52	 1.62 	Ideal	F	VS2	EX	EX	GIA	18281.00
53	 0.83 	Ideal	E	SI1	EX	EX	GIA	4024.00
54	 1.58 	Ideal	G	VVS2	VG	VG	GIA	16625.00
55	 0.91 	Very Good	F	SI1	EX	VG	GIA	4546.00
56	 1.01 	Fair	D	SI1	VG	G	GIA	5628.00
57	 1.13 	Ideal	G	VVS1	EX	EX	GIA	9653.00
58	 2.00 	Good	I	SI1	EX	VG	GIA	14321.00
59	 0.83 	Very Good	H	VS2	VG	VG	GIA	3249.00
60	 0.92 	Very Good	E	SI1	VG	VG	GIA	4286.00
61	 1.25 	Ideal	G	VVS2	VG	VG	GIA	11089.00
62	 1.23 	Signature-Ideal	G	VS1	EX	EX	GIA	10859.00
63	 1.51 	Good	E	SI1	EX	EX	GIA	12487.00
64	 1.21 	Signature-Ideal	E	VS1	EX	EX	GIA	12111.00
65	 1.02 	Very Good	D	SI1	G	VG	GIA	6001.00
66	 0.75 	Very Good	F	SI1	VG	VG	GIA	2734.00
67	 0.78 	Very Good	I	VS1	VG	VG	GIA	2694.00
68	 2.02 	Ideal	E	VS1	VG	G	GIA	32060.00
69	 0.90 	Good	E	SI1	VG	G	GIA	4147.00
70	 1.01 	Ideal	F	VS1	EX	EX	GIA	8860.00
71	 1.02 	Ideal	G	VS2	EX	EX	GIA	6264.00
72	 1.14 	Very Good	H	VS2	VG	G	GIA	5640.00
73	 1.50 	Very Good	G	SI1	VG	VG	GIA	10019.00
74	 1.30 	Very Good	H	SI1	VG	G	GIA	7018.00
75	 1.01 	Very Good	D	IF	VG	VG	GIA	18187.00
76	 2.17 	Ideal	G	VS1	EX	EX	GIA	30156.00
77	 0.90 	Ideal	G	SI1	EX	EX	GIA	4260.00
78	 1.00 	Good	H	SI1	VG	VG	GIA	4864.00
79	 2.24 	Ideal	E	VS1	EX	EX	GIA	40445.00
80	 1.59 	Ideal	H	VS1	EX	EX	GIA	13839.00
81	 1.02 	Ideal	H	VS1	VG	VG	GIA	5835.00
82	 1.02 	Very Good	H	SI1	VG	VG	GIA	4932.00
83	 2.10 	Signature-Ideal	F	SI1	ID	ID	AGSL	26278.00
84	 0.91 	Fair	F	SI1	VG	G	GIA	4036.00
85	 1.62 	Very Good	F	SI1	EX	VG	GIA	12202.00
86	 1.10 	Ideal	H	VS2	VG	VG	GIA	6387.00
87	 0.91 	Very Good	F	SI1	VG	EX	GIA	4188.00
88	 1.20 	Good	I	VS1	VG	VG	GIA	5818.00
89	 0.90 	Very Good	E	SI1	EX	EX	GIA	4442.00
90	 1.04 	Very Good	F	SI1	G	EX	GIA	5369.00
91	 1.66 	Ideal	H	VS1	EX	EX	GIA	13330.00
92	 0.77 	Very Good	D	VS1	EX	EX	GIA	3643.00
93	 1.63 	Very Good	I	SI1	G	G	GIA	9199.00
94	 1.32 	Ideal	E	SI1	VG	VG	GIA	8014.00
95	 1.71 	Very Good	F	VS1	VG	VG	GIA	17768.00
96	 1.02 	Ideal	E	SI1	VG	VG	GIA	5590.00
97	 1.04 	Ideal	G	VS2	EX	EX	GIA	6809.00
98	 1.01 	Ideal	F	VS2	EX	EX	GIA	7411.00
99	 1.20 	Very Good	E	VS2	VG	EX	GIA	9320.00
100	 2.00 	Good	I	VS2	VG	VG	GIA	15438.00
101	 1.01 	Very Good	I	SI1	EX	EX	GIA	4133.00
102	 1.00 	Very Good	E	VVS2	EX	VG	GIA	8638.00
103	 0.90 	Ideal	I	SI1	VG	VG	GIA	3455.00
104	 1.38 	Ideal	G	VVS1	EX	VG	GIA	12684.00
105	 1.00 	Very Good	I	VS2	EX	VG	GIA	4739.00
106	 1.13 	Very Good	F	VVS2	VG	VG	GIA	9947.00
107	 0.79 	Ideal	I	VS1	EX	EX	GIA	2888.00
108	 1.54 	Ideal	I	VS2	ID	ID	AGSL	9998.00
109	 0.81 	Very Good	I	SI1	VG	VG	GIA	2701.00
110	 1.15 	Ideal	F	VVS2	VG	VG	GIA	10555.00
111	 1.51 	Very Good	F	VS2	EX	VG	GIA	13324.00
112	 1.20 	Ideal	I	SI1	EX	VG	GIA	5476.00
113	 1.10 	Very Good	H	SI1	VG	G	GIA	5276.00
114	 1.31 	Very Good	I	VS1	VG	VG	GIA	6885.00
115	 1.03 	Ideal	G	VS2	EX	EX	GIA	6981.00
116	 1.10 	Very Good	I	SI1	G	EX	GIA	4545.00
117	 1.01 	Very Good	F	VVS1	EX	EX	GIA	9782.00
118	 1.01 	Very Good	E	SI1	VG	VG	GIA	5224.00
119	 1.01 	Very Good	F	VS2	EX	EX	GIA	6714.00
120	 1.57 	Ideal	G	VS2	EX	EX	GIA	14283.00
121	 1.01 	Good	H	SI1	EX	EX	GIA	4563.00
122	 1.00 	Ideal	E	VS2	EX	EX	GIA	7370.00
123	 1.21 	Very Good	D	SI1	VG	EX	GIA	7597.00
124	 0.93 	Very Good	E	VS2	G	VG	GIA	5140.00
125	 1.78 	Very Good	D	VS2	VG	G	GIA	16697.00
126	 2.25 	Ideal	E	VS2	EX	EX	GIA	32691.00
127	 0.93 	Very Good	D	VS1	VG	VG	GIA	5862.00
128	 0.90 	Very Good	H	VS2	G	G	GIA	4064.00
129	 1.01 	Very Good	H	SI1	EX	VG	GIA	4682.00
130	 1.14 	Good	H	SI1	VG	VG	GIA	5487.00
131	 1.05 	Very Good	G	VS1	EX	VG	GIA	7010.00
132	 1.60 	Ideal	G	VS2	ID	ID	AGSL	15000.00
133	 1.01 	Good	E	SI1	VG	VG	GIA	4989.00
134	 1.01 	Fair	D	SI1	EX	G	GIA	5122.00
135	 0.75 	Very Good	F	VVS2	G	G	GIA	3551.00
136	 1.01 	Very Good	D	SI1	VG	VG	GIA	5731.00
137	 2.03 	Very Good	I	SI1	VG	EX	GIA	15101.00
138	 0.83 	Good	E	SI1	EX	VG	GIA	3422.00
139	 1.02 	Very Good	E	VS2	VG	VG	GIA	6366.00
140	 2.12 	Ideal	H	VS2	ID	ID	AGSL	21846.00
141	 2.04 	Ideal	I	SI1	EX	EX	GIA	16718.00
142	 0.75 	Ideal	I	VVS2	ID	ID	AGSL	2782.00
143	 2.17 	Ideal	F	SI1	VG	EX	GIA	22930.00
144	 1.00 	Fair	F	VS1	EX	VG	GIA	6627.00
145	 1.00 	Good	E	SI1	VG	EX	GIA	5408.00
146	 1.26 	Very Good	F	VS1	EX	EX	GIA	11255.00
147	 1.31 	Ideal	I	VS1	EX	EX	GIA	7751.00
148	 1.51 	Very Good	G	VS2	VG	VG	GIA	11923.00
149	 1.02 	Very Good	D	SI1	G	VG	GIA	5839.00
150	 1.01 	Ideal	E	VVS2	VG	VG	GIA	10503.00
151	 0.91 	Ideal	I	VS1	ID	ID	AGSL	4374.00
152	 0.79 	Ideal	I	VS2	VG	EX	GIA	2712.00
153	 0.79 	Good	E	SI1	VG	VG	GIA	2548.00
154	 1.02 	Very Good	E	SI1	VG	VG	GIA	5667.00
155	 2.02 	Very Good	F	SI1	VG	VG	GIA	17658.00
156	 1.06 	Ideal	I	SI1	EX	EX	GIA	4745.00
157	 1.01 	Very Good	F	VVS2	VG	G	GIA	7835.00
158	 0.90 	Very Good	D	VS2	G	VG	GIA	4729.00
159	 2.15 	Very Good	G	VS1	EX	EX	GIA	27558.00
160	 2.20 	Very Good	F	VS2	EX	EX	GIA	27535.00
161	 1.22 	Ideal	F	VS1	EX	EX	GIA	10422.00
162	 1.00 	Fair	E	VVS2	VG	G	GIA	7553.00
163	 0.80 	Very Good	H	SI1	EX	G	GIA	2670.00
164	 2.19 	Very Good	F	VS2	VG	VG	GIA	29635.00
165	 1.32 	Ideal	D	VVS2	EX	EX	GIA	16099.00
166	 1.51 	Good	F	SI1	G	G	GIA	11056.00
167	 1.01 	Good	E	SI1	VG	VG	GIA	5233.00
168	 2.74 	Ideal	I	SI1	ID	ID	AGSL	24089.00
169	 1.02 	Very Good	F	VVS1	VG	VG	GIA	8800.00
170	 2.04 	Ideal	E	SI1	ID	ID	AGSL	20045.00
171	 1.02 	Ideal	G	VS1	EX	VG	GIA	7038.00
172	 1.02 	Very Good	G	VVS2	VG	EX	GIA	8252.00
173	 2.08 	Ideal	H	SI1	EX	EX	GIA	18760.00
174	 1.02 	Very Good	F	VVS2	EX	VG	GIA	9246.00
175	 1.06 	Ideal	G	SI1	VG	VG	GIA	5870.00
176	 1.50 	Very Good	F	VS2	VG	VG	GIA	12751.00
177	 1.57 	Very Good	F	VVS1	EX	EX	GIA	21167.00
178	 2.34 	Very Good	D	VVS2	VG	VG	GIA	57208.00
179	 1.20 	Ideal	I	VS2	EX	EX	GIA	6303.00
180	 1.01 	Very Good	D	SI1	VG	VG	GIA	5619.00
181	 1.32 	Ideal	G	VS1	ID	ID	AGSL	11079.00
182	 1.15 	Very Good	H	VS2	G	G	GIA	5831.00
183	 0.91 	Very Good	D	SI1	VG	G	GIA	4585.00
184	 1.14 	Ideal	I	SI1	VG	VG	GIA	4894.00
185	 1.13 	Ideal	H	VVS2	EX	EX	GIA	7385.00
186	 2.08 	Ideal	E	VS2	EX	EX	GIA	32149.00
187	 0.90 	Good	E	VVS1	EX	VG	GIA	7214.00
188	 0.75 	Ideal	H	SI1	VG	VG	GIA	2501.00
189	 2.66 	Ideal	D	FL	EX	EX	GIA	96493.00
190	 1.56 	Ideal	G	VS2	EX	EX	GIA	13543.00
191	 1.02 	Very Good	G	VVS2	G	VG	GIA	8013.00
192	 1.02 	Ideal	F	SI1	VG	EX	GIA	5795.00
193	 1.53 	Very Good	G	VS1	VG	G	GIA	15008.00
194	 1.07 	Very Good	F	IF	G	G	GIA	11019.00
195	 1.20 	Very Good	G	SI1	VG	VG	GIA	6076.00
196	 0.90 	Fair	F	SI1	VG	VG	GIA	3842.00
197	 1.23 	Ideal	D	VVS2	EX	EX	GIA	13274.00
198	 1.01 	Ideal	D	VVS2	ID	ID	AGSL	11442.00
199	 1.06 	Signature-Ideal	F	VVS2	EX	EX	GIA	10927.00
200	 1.04 	Ideal	G	VS2	EX	EX	GIA	6769.00
201	 1.51 	Ideal	G	VS2	VG	EX	GIA	12947.00
202	 1.22 	Very Good	H	SI1	G	VG	GIA	6350.00
203	 0.90 	Very Good	E	SI1	VG	G	GIA	4265.00
204	 1.02 	Ideal	F	VS2	EX	VG	GIA	6622.00
205	 0.80 	Very Good	H	VS1	VG	VG	GIA	3144.00
206	 1.57 	Ideal	E	VS2	EX	EX	GIA	17548.00
207	 2.08 	Very Good	F	VS2	VG	G	GIA	30210.00
208	 0.90 	Very Good	F	VS1	VG	VG	GIA	4671.00
209	 1.50 	Ideal	H	VS1	ID	ID	AGSL	12055.00
210	 2.01 	Very Good	H	SI1	VG	G	GIA	18149.00
211	 1.28 	Ideal	G	SI1	EX	EX	GIA	7415.00
212	 1.52 	Very Good	H	VS1	VG	VG	GIA	12877.00
213	 1.00 	Good	H	SI1	VG	VG	GIA	4702.00
214	 2.37 	Ideal	H	VS2	EX	VG	GIA	28063.00
215	 2.02 	Good	E	VS1	EX	VG	GIA	29334.00
216	 1.21 	Ideal	F	VS1	ID	ID	AGSL	11045.00
217	 1.54 	Good	H	VS1	EX	VG	GIA	10669.00
218	 1.50 	Very Good	H	VS2	VG	G	GIA	9706.00
219	 0.78 	Very Good	E	VVS1	EX	VG	GIA	4904.00
220	 2.20 	Very Good	I	VS1	EX	EX	AGSL	19671.00
221	 1.14 	Ideal	G	IF	EX	EX	GIA	9948.00
222	 1.33 	Ideal	G	VVS2	EX	EX	GIA	12345.00
223	 1.04 	Ideal	D	VVS2	EX	EX	GIA	11367.00
224	 2.00 	Very Good	I	SI1	VG	G	GIA	15381.00
225	 0.90 	Very Good	D	VVS2	EX	VG	GIA	5423.00
226	 1.51 	Fair	G	SI1	G	VG	GIA	8681.00
227	 1.23 	Very Good	G	VVS1	EX	EX	GIA	10477.00
228	 1.53 	Ideal	I	SI1	VG	VG	GIA	8971.00
229	 1.04 	Very Good	F	SI1	G	VG	GIA	5290.00
230	 1.20 	Very Good	H	SI1	EX	G	GIA	5630.00
231	 2.13 	Ideal	D	IF	ID	ID	AGSL	70114.00
232	 0.90 	Good	H	VS1	VG	VG	GIA	4072.00
233	 1.09 	Ideal	E	VS2	EX	EX	GIA	7978.00
234	 1.27 	Ideal	F	VVS1	VG	VG	GIA	13279.00
235	 1.01 	Good	G	SI1	VG	G	GIA	4884.00
236	 1.13 	Very Good	G	VVS2	VG	VG	GIA	9788.00
237	 1.01 	Very Good	I	VS1	EX	EX	GIA	5041.00
238	 2.21 	Ideal	G	VS2	EX	EX	GIA	30440.00
239	 2.03 	Ideal	I	VVS1	ID	ID	AGSL	21437.00
240	 2.01 	Very Good	I	VS2	VG	VG	GIA	15675.00
241	 2.13 	Very Good	H	SI1	VG	VG	GIA	17601.00
242	 1.50 	Good	F	SI1	G	G	GIA	10755.00
243	 1.27 	Ideal	I	VS1	G	VG	GIA	6396.00
244	 1.07 	Ideal	F	IF	EX	VG	GIA	11327.00
245	 2.14 	Good	G	SI1	VG	G	GIA	20853.00
246	 1.01 	Very Good	H	SI1	EX	EX	AGSL	4727.00
247	 1.00 	Ideal	F	SI1	VG	EX	GIA	5312.00
248	 1.52 	Very Good	E	SI1	EX	EX	GIA	12275.00
249	 1.19 	Ideal	G	VS1	ID	ID	AGSL	8034.00
250	 1.03 	Ideal	F	VS1	ID	ID	AGSL	7856.00
251	 1.01 	Good	F	SI1	EX	VG	GIA	5078.00
252	 0.90 	Very Good	D	SI1	G	G	GIA	4105.00
253	 2.02 	Ideal	H	VS1	VG	VG	GIA	20885.00
254	 1.22 	Very Good	G	VS2	VG	EX	GIA	8340.00
255	 1.13 	Ideal	G	SI1	EX	VG	GIA	5759.00
256	 1.01 	Ideal	F	SI1	EX	EX	GIA	5870.00
257	 1.04 	Ideal	G	VS2	EX	EX	GIA	7044.00
258	 0.76 	Very Good	H	IF	EX	EX	GIA	3367.00
259	 0.93 	Ideal	I	SI1	EX	EX	GIA	3772.00
260	 0.90 	Ideal	H	VS2	VG	VG	GIA	4369.00
261	 1.22 	Very Good	G	VVS2	EX	EX	GIA	9919.00
262	 1.16 	Very Good	D	SI1	EX	EX	GIA	5695.00
263	 2.50 	Very Good	I	VS2	VG	G	GIA	20894.00
264	 1.71 	Good	I	VS2	G	G	GIA	11250.00
265	 1.29 	Ideal	H	SI1	ID	ID	AGSL	7036.00
266	 1.03 	Ideal	G	VS1	ID	ID	AGSL	6913.00
267	 0.90 	Ideal	D	SI1	EX	EX	GIA	5656.00
268	 2.32 	Very Good	E	VVS2	G	EX	GIA	47800.00
269	 1.51 	Good	I	VS2	VG	G	GIA	8951.00
270	 2.01 	Good	E	VVS2	EX	G	GIA	34255.00
271	 1.00 	Very Good	F	SI1	EX	VG	GIA	5528.00
272	 1.29 	Ideal	G	VS2	EX	VG	AGSL	8858.00
273	 2.23 	Ideal	H	VVS1	EX	EX	GIA	28811.00
274	 1.20 	Very Good	F	VS1	VG	VG	GIA	9574.00
275	 0.78 	Ideal	H	SI1	VG	EX	GIA	2622.00
276	 1.00 	Fair	H	SI1	G	VG	GIA	4269.00
277	 0.92 	Very Good	E	VS2	EX	EX	GIA	5044.00
278	 1.05 	Good	H	SI1	G	G	GIA	4785.00
279	 1.10 	Very Good	H	SI1	VG	EX	GIA	4938.00
280	 1.23 	Very Good	G	VVS1	G	VG	GIA	10435.00
281	 0.76 	Good	G	VS1	VG	G	AGSL	3121.00
282	 1.21 	Ideal	I	VS1	ID	ID	AGSL	7111.00
283	 2.01 	Ideal	H	VS2	ID	ID	AGSL	20296.00
284	 1.02 	Very Good	E	VS2	VG	G	GIA	6612.00
285	 1.04 	Good	G	SI1	G	G	GIA	4768.00
286	 0.76 	Ideal	G	VS2	EX	EX	GIA	3114.00
287	 1.01 	Ideal	F	VS1	VG	VG	GIA	7870.00
288	 1.51 	Ideal	D	SI1	EX	EX	GIA	13588.00
289	 1.22 	Ideal	F	VVS2	VG	EX	GIA	10409.00
290	 2.02 	Very Good	E	VS2	VG	EX	GIA	28739.00
291	 1.09 	Ideal	G	VS1	EX	EX	GIA	7992.00
292	 0.91 	Very Good	D	VS2	VG	VG	GIA	5134.00
293	 1.00 	Fair	E	VS2	VG	G	GIA	6268.00
294	 0.90 	Very Good	I	VS2	G	G	GIA	3709.00
295	 1.32 	Very Good	I	VS1	VG	VG	GIA	6793.00
296	 2.01 	Good	H	VS2	G	G	GIA	18341.00
297	 1.01 	Ideal	I	SI1	VG	VG	GIA	5020.00
298	 1.09 	Signature-Ideal	G	VS2	ID	ID	AGSL	7709.00
299	 1.00 	Very Good	E	SI1	VG	VG	GIA	5247.00
300	 0.91 	Very Good	H	VVS2	VG	VG	GIA	4143.00
301	 1.55 	Signature-Ideal	I	VS2	ID	ID	AGSL	11574.00
302	 1.25 	Ideal	G	VVS2	ID	ID	AGSL	10983.00
303	 1.03 	Ideal	G	VVS2	EX	EX	GIA	8277.00
304	 0.77 	Ideal	D	SI1	ID	ID	AGSL	3345.00
305	 2.01 	Ideal	H	SI1	EX	VG	GIA	18252.00
306	 0.78 	Ideal	H	VVS2	EX	EX	GIA	3581.00
307	 1.50 	Signature-Ideal	G	VVS2	ID	ID	AGSL	17176.00
308	 1.70 	Very Good	H	SI1	VG	VG	GIA	11560.00
309	 1.15 	Ideal	H	SI1	VG	VG	GIA	5529.00
310	 0.84 	Ideal	I	VS1	EX	EX	GIA	2898.00
311	 1.07 	Very Good	H	VS2	G	G	GIA	5586.00
312	 1.50 	Ideal	E	VS2	ID	ID	AGSL	14618.00
313	 1.00 	Very Good	G	VVS1	EX	G	GIA	7872.00
314	 1.01 	Good	F	VS2	G	VG	GIA	5700.00
315	 1.14 	Signature-Ideal	H	SI1	ID	ID	AGSL	7079.00
316	 1.28 	Ideal	F	VS1	EX	EX	GIA	12061.00
317	 0.91 	Very Good	G	VVS1	EX	EX	GIA	4680.00
318	 1.22 	Ideal	F	VS2	VG	VG	GIA	8418.00
319	 0.91 	Very Good	H	SI1	EX	VG	GIA	3998.00
320	 1.01 	Very Good	H	VS2	ID	ID	AGSL	5393.00
321	 1.06 	Signature-Ideal	G	VS1	ID	ID	AGSL	8093.00
322	 1.26 	Ideal	F	VS2	EX	EX	GIA	10709.00
323	 0.90 	Very Good	E	VS2	VG	EX	GIA	4920.00
324	 0.92 	Signature-Ideal	I	SI1	ID	ID	AGSL	4457.00
325	 2.01 	Very Good	G	VS1	EX	EX	GIA	24784.00
326	 1.00 	Very Good	G	VVS2	EX	EX	GIA	7215.00
327	 1.50 	Ideal	H	VVS2	ID	ID	AGSL	12187.00
328	 1.20 	Very Good	H	SI1	VG	VG	GIA	6377.00
329	 2.03 	Ideal	F	VS2	EX	EX	GIA	31773.00
330	 2.07 	Very Good	I	VS2	VG	EX	GIA	16378.00
331	 1.01 	Very Good	F	VS1	VG	VG	GIA	6914.00
332	 0.79 	Very Good	E	VVS2	VG	VG	GIA	4585.00
333	 1.70 	Good	G	VS2	VG	G	GIA	15087.00
334	 0.83 	Very Good	H	VS2	G	EX	GIA	3276.00
335	 1.09 	Ideal	G	VS2	EX	EX	GIA	7227.00
336	 0.90 	Good	H	SI1	G	VG	GIA	3238.00
337	 0.90 	Good	D	VS2	VG	G	GIA	4508.00
338	 1.33 	Ideal	I	VS2	ID	ID	AGSL	7752.00
339	 1.51 	Ideal	G	VS2	VG	EX	GIA	12913.00
340	 1.00 	Very Good	H	SI1	EX	EX	GIA	5021.00
341	 2.02 	Good	H	VS1	EX	EX	GIA	19829.00
342	 0.81 	Very Good	E	SI1	VG	G	GIA	3643.00
343	 1.03 	Ideal	D	VS1	EX	EX	GIA	9192.00
344	 0.75 	Ideal	E	SI1	G	VG	GIA	3049.00
345	 1.06 	Good	H	SI1	VG	VG	GIA	4828.00
346	 0.86 	Ideal	F	VS2	EX	EX	GIA	4398.00
347	 0.91 	Fair	F	SI1	G	G	GIA	3884.00
348	 1.01 	Good	F	SI1	EX	VG	GIA	5107.00
349	 2.09 	Ideal	H	VS1	EX	EX	GIA	23602.00
350	 1.23 	Very Good	F	VVS2	G	EX	GIA	11110.00
351	 1.35 	Very Good	H	VVS2	EX	ID	AGSL	8644.00
352	 1.25 	Ideal	E	VVS2	ID	ID	AGSL	12981.00
353	 2.02 	Very Good	G	SI1	VG	EX	GIA	19442.00
354	 1.01 	Very Good	D	SI1	VG	G	GIA	5670.00
355	 1.52 	Ideal	H	SI1	EX	VG	GIA	10239.00
356	 1.53 	Very Good	H	SI1	G	EX	GIA	9332.00
357	 2.01 	Ideal	G	VS1	VG	VG	GIA	26659.00
358	 1.08 	Ideal	H	SI1	ID	ID	AGSL	5558.00
359	 1.23 	Ideal	I	SI1	EX	EX	GIA	6183.00
360	 1.23 	Very Good	F	VS1	G	VG	GIA	9694.00
361	 1.02 	Very Good	G	IF	VG	VG	GIA	8538.00
362	 1.02 	Very Good	F	VVS2	EX	EX	GIA	9728.00
363	 1.13 	Ideal	G	VS1	ID	ID	AGSL	7808.00
364	 2.43 	Ideal	E	SI1	EX	EX	GIA	30108.00
365	 1.03 	Signature-Ideal	D	VS1	EX	EX	GIA	10607.00
366	 0.80 	Very Good	H	VVS1	ID	ID	AGSL	3737.00
367	 1.09 	Ideal	D	VVS2	EX	EX	GIA	12185.00
368	 1.00 	Very Good	D	SI1	EX	VG	GIA	6040.00
369	 1.00 	Ideal	G	VS2	VG	VG	GIA	5887.00
370	 1.33 	Signature-Ideal	F	VVS2	EX	EX	GIA	15031.00
371	 0.90 	Very Good	G	VS2	VG	VG	GIA	4173.00
372	 1.05 	Ideal	G	VS1	ID	ID	AGSL	7317.00
373	 1.04 	Good	E	VVS2	VG	G	GIA	9038.00
374	 1.04 	Very Good	F	VS1	VG	VG	GIA	8090.00
375	 2.01 	Ideal	G	SI1	ID	ID	AGSL	20934.00
376	 1.51 	Good	I	VS2	EX	G	GIA	8939.00
377	 0.90 	Fair	D	VS1	VG	G	GIA	4958.00
378	 1.12 	Ideal	G	VS1	ID	ID	AGSL	7970.00
379	 0.91 	Very Good	F	SI1	VG	VG	GIA	3963.00
380	 1.05 	Ideal	G	VS1	EX	VG	GIA	7571.00
381	 2.01 	Ideal	E	SI1	EX	EX	GIA	23217.00
382	 0.90 	Fair	E	SI1	VG	VG	GIA	3743.00
383	 2.30 	Very Good	E	VS1	EX	EX	GIA	45752.00
384	 0.85 	Very Good	D	VS2	VG	VG	GIA	4133.00
385	 1.25 	Very Good	I	VS2	G	VG	GIA	5956.00
386	 1.59 	Ideal	I	SI1	EX	EX	GIA	9209.00
387	 1.20 	Ideal	D	VVS2	VG	EX	GIA	13165.00
388	 1.21 	Very Good	G	VVS2	EX	EX	GIA	9878.00
389	 1.05 	Very Good	D	VS2	G	G	GIA	7794.00
390	 1.06 	Ideal	G	VS1	EX	EX	GIA	7594.00
391	 1.02 	Ideal	F	VS2	EX	VG	GIA	6645.00
392	 1.01 	Very Good	E	VVS2	VG	EX	GIA	8401.00
393	 1.01 	Very Good	F	VVS1	EX	VG	GIA	10019.00
394	 0.82 	Ideal	F	VS2	ID	ID	AGSL	3913.00
395	 1.03 	Very Good	G	SI1	G	VG	GIA	4997.00
396	 0.90 	Very Good	H	SI1	EX	EX	GIA	3770.00
397	 0.91 	Very Good	I	VS2	G	VG	GIA	3633.00
398	 1.51 	Fair	I	VS1	G	G	GIA	8359.00
399	 1.01 	Good	D	SI1	VG	VG	GIA	5541.00
400	 1.12 	Ideal	G	VS1	EX	EX	GIA	8202.00
401	 2.07 	Very Good	D	VVS2	G	VG	GIA	46229.00
402	 1.01 	Fair	F	VS2	EX	G	GIA	5747.00
403	 2.57 	Ideal	G	VS1	VG	EX	GIA	40652.00
404	 1.23 	Very Good	G	VVS2	EX	VG	GIA	9803.00
405	 2.01 	Good	I	SI1	EX	G	GIA	15743.00
406	 2.01 	Good	G	IF	EX	VG	GIA	27624.00
407	 2.05 	Good	H	VS1	VG	VG	GIA	19436.00
408	 1.55 	Ideal	G	VS1	EX	EX	GIA	15070.00
409	 2.55 	Ideal	I	VS1	EX	EX	GIA	25387.00
410	 1.01 	Ideal	E	VS1	EX	VG	GIA	7458.00
411	 0.76 	Very Good	H	SI1	EX	EX	GIA	2593.00
